,0,1,2,3,4,5,6,7,8,9,11,12,13,14,15
36,37,CITY,687.00,729.00,729.00,687.00,"38,534","26,968,730",483,687.00(-33) ,720.00,699.87,782.50,111.10,"11,500.38"
37,38,CKHL,330.00,300.00,330.00,300.00,"2,080","683,944.5",223,330.00(330) ,0.00,328.82,330.00,300.00,"1,320.00"
38,39,CLI,531.00,550.00,550.00,531.00,"138,296","74,299,806.5","3,009",531.00(-16.5) ,547.50,537.25,567.00,375.00,"19,912.50"
39,40,CMF1,8.62,8.56,8.65,8.55,"16,100","138,397",10,8.62(-0.1) ,8.72,8.60,9.40,6.96,706.84
40,41,CMF2,8.08,8.09,8.09,7.93,"5,200","42,002",3,8.08(-0.17) ,8.25,8.08,10.39,6.81,452.48
41,42,CORBL,355.00,355.80,369.00,351.00,"5,834","2,080,474.2",53,355.00(-8) ,363.00,356.61,400.00,258.00,"1,863.75"
42,43,CYCL,"1,086.00","1,051.60","1,094.00","1,050.00","6,686","7,122,860.4",220,"1,086.00(13) ","1,073.00","1,065.34","2,680.00",882.00,"2,893.37"
43,44,CZBIL,184.00,187.00,190.00,183.00,"57,341","10,550,368.5",177,184.00(-4) ,188.00,183.99,224.00,158.90,"26,129.79"
44,45,DDBL,785.40,815.80,815.80,785.00,"9,831","7,818,880.7",142,785.40(-30.4) ,815.80,795.33,"1,178.00",606.70,"12,182.25"
45,46,DHPL,181.30,191.60,193.00,181.10,"32,991","6,115,402.3",206,181.30(-6.7) ,188.00,185.37,262.00,134.00,478.63
46,47,DLBS,"1,009.80",899.70,"1,009.80",868.00,"3,886","3,440,191.4",83,"1,009.80(91.8) ",918.00,885.28,"1,662.00",579.00,"1,344.04"
47,48,DOLTI,284.90,296.00,306.00,282.00,"40,977","11,909,239.3",365,284.90(-11.6) ,296.50,290.63,337.00,177.40,"1,528.45"
48,49,DORDI,279.00,274.00,284.50,261.10,"32,383","8,755,409.9",335,279.00(5) ,274.00,270.37,351.90,191.60,"2,941.39"
49,50,EBL,530.10,545.00,550.00,525.30,"50,049","26,609,086.9",275,530.10(-14.9) ,545.00,531.66,633.00,427.20,"62,381.66"
50,51,EBLD85,"1,023.00",990.10,"1,023.00",990.00,170,"170,809",9,"1,023.00(23) ","1,000.00","1,004.76","1,030.00",976.10,-
51,52,EBLD86,825.10,857.00,857.00,825.10,75,"63,052.5",4,825.10(-48.9) ,874.00,840.70,874.00,725.00,-
52,53,EDBL,339.00,350.00,354.00,336.00,"39,920","13,649,855.8",160,339.00(-11) ,350.00,341.93,396.00,266.40,"4,236.46"
